iter        J                  ΔJ                   |d|             α       
301   974.1826193057396    1.4519972829241086   8.653616612319855    1.0 
302   973.1812598412768    0.45923029486044886   1.0641344176821195    1.0 
303   972.7113093283383    0.48245678560369554   0.9698594952207858    1.0 
304   972.2184245069213    0.4641531947025184   0.8793952433692995    1.0 
305   971.741093754725    0.5737504372075064   1.6776129755998415    1.0 
306   971.1759064466081    0.5793456403408619   2.381791615253133    1.0 
307   970.614078113468    0.4849668302123589   0.9529318867503455    1.0 
308   970.1184810802699    0.567167797139196   1.1848895397380588    1.0 
309   969.5466301075644    1.6296507091324042   9.502013139310346    1.0 
310   968.4743985077762    0.47292194583201896   1.5855600287880374    1.0 
iter        J                  ΔJ                   |d|             α       
-----------------------------------------------------------------------------
311   968.0090481336539    0.4486329371535445   0.8640202247057197    1.0 
312   967.5539323492573    0.6435648758122968   2.2287965760679067    1.0 
313   966.943765156438    2.1108478982857686   2.436860156712147    1.0 
314   965.1689764407447    0.8003679815842033   1.1759216327916484    1.0 
315   964.4290265494839    0.5803371630215809   1.1410794017901358    1.0 
316   963.8372909254206    2.5646069706959267   9.00830147663307    1.0 
317   961.9379864601607    0.6662674392615778   1.2970654910695079    1.0 
318   961.3160802059926    0.7373540096433893   2.024679107811544    1.0 
319   960.6074310814216    0.6229109326678529   2.233436333328707    1.0 
320   959.9930818610891    0.6515486995544286   1.2586039915113887    1.0 
iter        J                  ΔJ                   |d|             α       
-----------------------------------------------------------------------------
321   959.3285231605789    0.5987273501427322   1.1428796497525917    1.0 
322   958.7213937799072    2.7679474199678538   10.096057724870482    1.0 
323   956.7468900173192    0.6422781841075329   1.3320908731766872    1.0 
324   956.1534866997374    0.6249134857360721   1.5081141181942348    1.0 
325   955.5376684743704    0.6124491494845707   2.2723665597817946    1.0 
326   954.9346504167827    0.9389052683756252   1.1070225966688425    1.0 
327   953.9862729951095    1.7597573127830257   8.857461489256758    1.0 
328   952.6912772210668    0.546763906168104   1.3878415036798322    1.0 
329   952.1434811044239    0.47533804660565604   1.0972967530234046    1.0 
330   951.6546514534429    0.5952123004180467   0.9608881197248839    1.0 
iter        J                  ΔJ                   |d|             α       
-----------------------------------------------------------------------------
331   951.0475054218927    0.5258327185924148   0.9489919270947474    1.0 
332   950.5151732011028    0.5125848694910562   0.9373386485392916    1.0 
333   949.9909972206443    0.6361971240243516   2.2030508212828015    1.0 
334   949.3719813990168    0.5528856184652807   1.082646413222097    1.0 
